Flipkart_Title,Flipkart_Price,Amazon_Title,Amazon_price,Amazon_link,Price_Comparison
"Apple iPhone 13 (Starlight, 128 GB)","₹49,900",Apple iPhone 15 (128 GB) - Green,"₹48,999",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX6NQMD/ref=sr_1_3?dib=eyJ2IjoiMSJ9.jauChL7kXSWomYIKIMCPMo4wwdlI59jT8Bz9mNMoRuLFL4X1eczBkXHL3mMhe0xHTBTXP1T7p97RoPBY7yynnS0qRzhfuElrwvzD_QWu-gi2gzhah9mtf5KgR-_I71cjoCeCVWfOlu17u4w8dHWX3rBO155-ElW7C8bDdLtmin3rDJrSFwCvoGLUgxQvXnUX54qL2tLlMkxJnYjNToppoA_U6opTEFmn_f_uDFiM-zY.8dfLGH9Nz_4SUdWSRww0wfxxYpbASkENfqCZ5w9Szng&dib_tag=se&keywords=Apple+iPhone+13+%28Starlight%2C+128+GB%29&nsdOptOutParam=true&qid=1760433705&sr=8-3,Amazon Cheaper by ₹901.00
"Apple iPhone 13 (Blue, 128 GB)","₹49,900",Apple iPhone 15 (128 GB) - Blue,"₹48,999",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.1GBGIA0J13u2l8hOLCkYDVAUeeVBeLPhuYqYwsmN4XS4nrBHk0q7-6xivRGXMniwcvwg5jD7ICzyhvg38Ry_TlR_RoD18UriYphDvJIOhuaz-UNnJAcKaD6AS1iN5ECg3BNkMykG2sKG4juBPH7a9qK2tos0CiFgaNRg5JEdQSGZDSD3bZC2eV1M_v6Cb2fc-mhr3HcoDC0HmRDsYdsMRmcR5eJx2aKy484Fvv2mJTQ.SDG2Tie-PL7nPPlbU04TR_mRCKt_919t8bYa1QxFaVo&dib_tag=se&keywords=Apple+iPhone+13+%28Blue%2C+128+GB%29&nsdOptOutParam=true&qid=1760433725&sr=8-3,Amazon Cheaper by ₹901.00
"Apple iPhone 13 (Midnight, 128 GB)","₹49,900",Apple iPhone 15 (128 GB) - Blue,"₹48,999",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.4Amcm6ymShwYf2cUNy6g8-J1WmeP4p2TFdMIZ6TKp1hkwyJfld0sBdDjWj2JoWRIV7t1V3QDwEEiJHiX5dMKasRxnaLSpqCKpySOzTBZyA7IosFDkQoD6OIuHk80zPAghA5Tnv1xcZr8b8rB7lLJFkXAOJw24nKSskc7AcLNfIHEu8GHMqSqqSfIreR-FEHTX65U7xnraEuglnqPsux1WgDeSgE8L6-D_0AReLSws7Y.6cWK4a33xUlPR0l3KxstsQC5iE5_TXp7H8-ObMUxNJY&dib_tag=se&keywords=Apple+iPhone+13+%28Midnight%2C+128+GB%29&nsdOptOutParam=true&qid=1760433739&sr=8-3,Amazon Cheaper by ₹901.00
"Apple iPhone 13 (Green, 128 GB)","₹49,900",Apple iPhone 13 (128GB) - Green,"₹44,999",https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_3?dib=eyJ2IjoiMSJ9.y17_HYWuTaP4tM2OKc4ALcIiHTdQGjdDJjo0vv-ipP4Yxc61NR9Qh-S3XchUD4-CRv_igRybLOVBUqq73jNvKMRxnaLSpqCKpySOzTBZyA43sblVBOk1Ea2JyJ_ox0lEo03-k_dmP2q8sqj-5B1j7NeakUm3GtPLS1FZPwMQDJRegMQ77ePrV9jbWEyrFUC-PeIXD5xKVbYXBiiz3EfFtDHpBBaTmTBcEpc5ojfrzJo.BG3qw57Y2gE3W_Yh5qvzhfP4megdZyLErT9Qebo-rVY&dib_tag=se&keywords=Apple+iPhone+13+%28Green%2C+128+GB%29&nsdOptOutParam=true&qid=1760433756&sr=8-3,Amazon Cheaper by ₹4901.00
"Apple iPhone 13 (Pink, 128 GB)","₹49,900",Apple iPhone 15 (128 GB) - Pink,"₹48,999",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX3TW6X/ref=sr_1_3?dib=eyJ2IjoiMSJ9.LAOeCfRf5hGlewzXDbccdgVuXrkzA7PU9-MLSufplLML1me6rw8OXNrOi1LBmMiUQqvq8tPPTY2lO-Lbp4InyD-eGRv27-pfP0oUBl4wg-8WWDuq6fV6GdYT7qamlkUNHli_IrGobmXAfXADdxV_ik7gTbsQW7Fi2Nu4Z6z3Csl_l8UCGb7Y-aX9N7k0_XjQn-nChQStrYnSGoTq0KY0R6Dvd0Ys_T3hdGsevrtfm9U.tyiAHzpSkKWPzGJlT7pPqdcNtJm8D7O98n5Ma2lg9MY&dib_tag=se&keywords=Apple+iPhone+13+%28Pink%2C+128+GB%29&nsdOptOutParam=true&qid=1760433770&sr=8-3,Amazon Cheaper by ₹901.00
"Apple iPhone 13 (Starlight, 256 GB)","₹59,900",Apple iPhone 15 (256 GB) - Pink,"₹58,999",https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX4CRND/ref=sr_1_3?dib=eyJ2IjoiMSJ9.uaOKzuhAvmXWyfeKZ1jFIhrhvcuNlTcvy2RmqARfSPQoJEqwiCt_Z-4uZin9S1ayBxjcQh1_Wnr_NkuIIQdXDy1FFxWHzIkJCVDejrJz3tZHXMpzbC8qvHa1tR7Hn-I6ZVSwj3w6S3drbHqQBmVeAA.P0T6-sl6nqS1zmaF6RCDEDqKs2BKpI2XxDAHyXaDLzk&dib_tag=se&keywords=Apple+iPhone+13+%28Starlight%2C+256+GB%29&nsdOptOutParam=true&qid=1760433785&sr=8-3,Amazon Cheaper by ₹901.00
"Apple iPhone 13 ((PRODUCT)RED, 128 GB)","₹49,900","iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal","₹66,900",https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJH8RYG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3wwwQPTiZIGMNWNdz_KhhV4mkMTgjDFEv15tqPy6YcU9Ib8wTABf6xxm-3_3-aIVyLZED7qFxdSSrA6x1babk1A7MMOAYHz-EMDFeocQuGRHMbS8iRtfTxXwC7mBXrtXyxtucm8rcjxckBzGYLwP9khA8gWnAdoLvcd_kzgRMNWiFf9_ihLQzxQFlzQ-bUg8DwWiLCLWg9KVCQdbv5pnzYME.UOsAUaYKbUm8oFinNW30tveOk-GXzS3E9cOgWCGEMVc&dib_tag=se&keywords=Apple+iPhone+13+%28%28PRODUCT%29RED%2C+128+GB%29&nsdOptOutParam=true&qid=1760433797&sr=8-3,Flipkart cheaper by ₹17000.00
"Apple iPhone 13 (Starlight, 512 GB)","₹79,900",Apple iPhone 14 (256 GB) - Starlight,"₹61,900",https://www.amazon.in/Apple-iPhone-14-256GB-Starlight/dp/B0BDJS3MRM/ref=sr_1_3?dib=eyJ2IjoiMSJ9.8FWOxXOV6UaT_2XywoNpTUNoKSorBz3ftpJaPbOo7KMtNfMCJGKJRYbFMMDXpRffqPTYPQCrV89DtsycT3mrorX8sGZMuJsTIPjayTZn9-wVcERnuXglnbfwliYv6_K7HWrmQ1-q87KcljBiq1QzIZMe17pcZEcRVBLKOTIjtMEe6xsLOk30oV_U7WGTBT9ZqXbCmMPQYByG66l0_ZZ2FGeySzXVn_uxVIlDTUf7b-g.cLs8JFV40K9y8Jyz8NJWrVaQjWOzpPkhRhs79EVc6V0&dib_tag=se&keywords=Apple+iPhone+13+%28Starlight%2C+512+GB%29&nsdOptOutParam=true&qid=1760433812&sr=8-3,Amazon Cheaper by ₹18000.00
"Apple iPhone 13 (Midnight, 256 GB)","₹59,900",Apple iPhone 14 (256 GB) - Midnight,"₹61,900",https://www.amazon.in/Apple-iPhone-14-256GB-Midnight/dp/B0BDJ6N5D6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.paP3MLZbSWn_kJ9X1kQ6tEVIHXa1AlcpJ7womIJ9tuUJ8790wSRdyUx16PgKD7TXXBrM3uGAvKm1FdFQfB5qTW4KeiEhBIh-kFGXuQ_v8S_qigFuXMUMLAKtJb9JrjXk_Enqjtp0ls9ekpWv0bZHapBZ2sprjY8gTeb7OLVkezTxwhL31CUe8-cXAhfWGXk5.7rb1JP39tuW533foS4gmZ7TFWDEOuLbbqdGUK1L8gE4&dib_tag=se&keywords=Apple+iPhone+13+%28Midnight%2C+256+GB%29&nsdOptOutParam=true&qid=1760433827&sr=8-3,Flipkart cheaper by ₹2000.00
"Apple iPhone 13 (Pink, 256 GB)","₹59,900",Apple iPhone 15 (256 GB) - Pink,"₹58,999",https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX4CRND/ref=sr_1_3?dib=eyJ2IjoiMSJ9.uaOKzuhAvmXWyfeKZ1jFIgtCGDobEz4m2DbSyg_XrHotJhjz3w4KAmA-ctTuJ8EfVNHDIYB15UYwk7J05_JnPH26lFyqWtRa_SeXUxoSfEKF0_QPgskZrni9uMktk0OD.XsKir0z0-C52flvljIfsuiJL65_7nZlo3uxXKA6uBgc&dib_tag=se&keywords=Apple+iPhone+13+%28Pink%2C+256+GB%29&nsdOptOutParam=true&qid=1760433844&sr=8-3,Amazon Cheaper by ₹901.00
