Flipkart_Title,Flipkart_Price,Amazon_Title,Amazon_price,Amazon_link,Price_Comparison
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)","₹15,999",Apple iPhone 13 (128GB) - Blue,"₹43,900",https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.eFa-TvbcC_zjCq_5PD2KO_RW75_rvjODGl-uODygNmp6YYmEpHxp1ek5oho5l2JwWDrE-IPPTQsD9lkc2YwduCs-dgRa5oe7GEvKQRHZel5SY_qgnpuipKd_N1aDSkK8GBcyYGXIyrxQS5R0czwtx55DKIXa1DC8fuHRziJxr4dirtfyABv0lT859Z7j4eEMkfc6D5R1o1yP_ir1aLG9LbqArtfWjjPv5P7iiL7ys94.jfTwYatVvp7Y2Fdn3wHQIsIhMUCqfBx3eaogpwUOP4c&dib_tag=se&keywords=Apple+iPhone+13+%28Starlight%2C+128+GB%29&nsdOptOutParam=true&qid=1760418283&sr=8-3,Flipkart cheaper by ₹27901.00
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)","₹15,999","Motorola G96 (PANTONE Greener Pastures, 8GB RAM, 128GB Storage)","₹17,250",https://www.amazon.in/Motorola-Snapdragon-Processor-5000mAh-Pastures/dp/B0FHGHK77M/ref=sr_1_2?dib=eyJ2IjoiMSJ9.5VtnbqHZpcM3SDKFkFAW0mqvWBDCgeY38NXwn6kiJrmgUXxO3y9rvrnW3tm0mRcmDb3rFAo9U3pVZw5zEvMJTe9HVhE-1tUwh-k5Jsx7PILsOjfaMBxnD4EFt1TEsbVyAMZWt7G5gEGS1IV6Vv-SrP9RFZNigSAeF3FSX0Hm7-Qb0Ku3mOl_Pv7XWa9SlGFFWAL1ebOpFJO235s7p6K_2xxwfatlAf5341BIlTVeWMA.u4NgSFMKBJCED2y4da9jaiWbW4_b4t_ahNnNOrlNEEQ&dib_tag=se&keywords=MOTOROLA+G96+5G+%28Pantone+Greener+Pastures%2C+128+GB%29&nsdOptOutParam=true&qid=1760425207&sr=8-2,Flipkart cheaper by ₹1251.00
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)","₹17,999",Apple iPhone 13 (128GB) - Blue,"₹43,900",https://www.amazon.in/Apple-iPhone-13-128GB-Blue/dp/B09G9BL5CP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.lylV35R4vlcik0aaO6wOgcSTBzE93Sl_8Zl9C_-wAVlkwyJfld0sBdDjWj2JoWRI5kx_vdtsXnWgDpbdvcMp9RISg8ETGG9GuhgsgAL0mSMY6bSNzWyP_9qlm342ml4_SgmbAxtuEo71DHqz2tkvf39rfQWTzX-5tyVyWNb84xtexX-OJyGN5c0QlwDBBZvZUlnOVaaov-IDhfjEEyCngO_U3cYVBCFa0KL9xeaMkKs.POFo4XZla7FbKKBY6evoYXUjrUIT0bUmWu5YAn4LJuw&dib_tag=se&keywords=Apple+iPhone+13+%28Blue%2C+128+GB%29&nsdOptOutParam=true&qid=1760418318&sr=8-3,Flipkart cheaper by ₹25901.00
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 256 GB)","₹17,999",Apple iPhone 13 (128GB) - Green,"₹43,900",https://www.amazon.in/Apple-iPhone-13-128GB-Green/dp/B09V4B6K53/ref=sr_1_3?dib=eyJ2IjoiMSJ9.dTeO0MoWGzil75nU3uiLyerOxBFzCusupfET52Xzc5KK0p0yPok76kg-9zCmptyQT7yGDMPQZwl2_PyPVspjzUmRSmDy7WhTHqp9TLVDY2fVo7HiYEqS_D0vUosREq6J_OCtTMYCVgJ97x8U12ECVMaA3CQRFk6iV_EIla3Ma9fxTn8aLLnjv1kDOkle7OAJqvq2f3TL5NQqWG1XOKmyTOTyaBG3DHyv0uYd6JsPx7o.zgxVXws9zfBzznLPmawGerg4rSkTMVzMPYktRc_23O8&dib_tag=se&keywords=Apple+iPhone+13+%28Green%2C+128+GB%29&nsdOptOutParam=true&qid=1760418332&sr=8-3,Flipkart cheaper by ₹25901.00
"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)","₹15,999",Apple iPhone 15 (128 GB) - Pink,"₹47,999",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX3TW6X/ref=sr_1_3?dib=eyJ2IjoiMSJ9.54fzogbccSIAjX74CJ32gOrOxBFzCusupfET52Xzc5IYxc61NR9Qh-S3XchUD4-CZivHdH7mRWvkwGc-ZXqdLboDwvXyf2YT_1GFszd4761g4mWiPt1I04i_3dn_Wejg_GlIvo_HAUg0S-L5JrZTZ_GHbRVrdu1fmMwtOVAcOZ5UMy58RtBsBQinD6QsMj3-uGweywbQP47u2dCxLEi84PcvTquEWjwD8Uldm0MP_rc.72CCTQqRim89oCTP8zv4kq-WVLH4PCfqW7bLN7r4gSo&dib_tag=se&keywords=Apple+iPhone+13+%28Pink%2C+128+GB%29&nsdOptOutParam=true&qid=1760418351&sr=8-3,Flipkart cheaper by ₹32000.00
"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)","₹17,999","Motorola g96 5G (Pantone Greener Pastures, 8GB RAM, 256GB Storage)","₹18,340",https://www.amazon.in/Motorola-Greener-Pastures-128GB-Storage/dp/B0FHGCG292/ref=sr_1_3?dib=eyJ2IjoiMSJ9.5VtnbqHZpcM3SDKFkFAW0mqvWBDCgeY38NXwn6kiJrlL-xXHrMja8m7GQJ1wFkOrwilmPSD0SXU9rowAtLGvN4cHIGOX6xGt1c92sZpXCUXsOjfaMBxnD4EFt1TEsbVyL6yoWSvbGrjE6vt_WZiN3amN8pBpQ90XtuZ92SMbNVo5zni9REM0nc0b8p2hh_xdPHjvwZJlT_UedVO4b_9-YcKvJsevEGqN_ubjyDMvuZY.jLyYtPbwPkZcDOeiehtnO1mksF9qR_NZI0tXvHC93Mg&dib_tag=se&keywords=MOTOROLA+G96+5G+%28Pantone+Greener+Pastures%2C+256+GB%29&nsdOptOutParam=true&qid=1760425274&sr=8-3,Flipkart cheaper by ₹341.00
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 128 GB)","₹15,999",Apple iPhone 14 (256 GB) - Starlight,"₹61,900",https://www.amazon.in/Apple-iPhone-14-256GB-Starlight/dp/B0BDJS3MRM/ref=sr_1_3?dib=eyJ2IjoiMSJ9.t0wNDO5P-UOmIdHzKHCwAmgcB1yGdVBdVBTf0e5NMYR6YYmEpHxp1ek5oho5l2JwZkgQZYTsgZtGf1p73vzNxxIXUKRt8pM8RIy5b7hWwVvQB6nDrcQeDU3KDBLKnJAr7vQpwkIcfsB2ub8P1hPbW0rY7hVVeiFRKWXm9JHwGVPgjOmFfh87SXyqPv0Czccrdb_zM6Ld1UByV6S2VcxBv8MYMuVvYEAQAy3-VZSsRdQ.L--WiDpNhUfZLyYyYzmsxRokPugHn7WsoR2Zjv-vtNY&dib_tag=se&keywords=Apple+iPhone+13+%28Starlight%2C+512+GB%29&nsdOptOutParam=true&qid=1760418382&sr=8-3,Flipkart cheaper by ₹45901.00
"MOTOROLA G96 5G (Pantone Dresden Blue, 256 GB)","₹17,999",Apple iPhone 15 (128 GB) - Blue,"₹48,499",https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.4Amcm6ymShwYf2cUNy6g8844b_EZsvdJ4sstoUQpQMdbM4WteheaXp92tIbekf_D6yyXFo3wF7Q5jXqGa1L305P6lmimsxZAFJM-9fFshdjI8OZgrb2RX1jpaejmdbFAJxPmCO49fxiuzmvdgk1bHckAR9kMMurNDM2tNkTTr--9Hs-Z5ObvhaGI33-Z04lED2DACLMxsP9EKhrUR-TPfe8k8MP-Q91eCE-5RLJN_i4.gB4cLPC3HAM0YCoIP4xgZisP8m7joLPcUlOWamfNSr8&dib_tag=se&keywords=Apple+iPhone+13+%28%28PRODUCT%29RED%2C+128+GB%29&nsdOptOutParam=true&qid=1760418400&sr=8-3,Flipkart cheaper by ₹30500.00
DSCASE Back Camera Lens Glass Protector for MOTOROLA G96 5G [RING],₹219,Apple iPhone 15 (256 GB) - Blue,"₹58,999",https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX6N27Y/ref=sr_1_3?dib=eyJ2IjoiMSJ9.NFc5XS-FWFSbHsvsdcmAYORExMBgU6sc3hk62Y2UJvdbM4WteheaXp92tIbekf_DgWXMY5qJDMXG84i1maoe0YdEYzoSAXpBaYHfC5ST0eqVwCa1xNlG1Aa-vNB0xHBLyZ4jZCQswkAMzdbBRPymnggA3I47sy5fLX8e2Y165BzRo1y_Lx9Au1cY5de3YuJz.9vHO6cELQVs5dAFoRGZz-3lH9dN4OYBuHLgKQZOUNU4&dib_tag=se&keywords=Apple+iPhone+13+%28Pink%2C+256+GB%29&nsdOptOutParam=true&qid=1760418413&sr=8-3,Flipkart cheaper by ₹58780.00
"MOTOROLA Razr 60 Ultra (Pantone Mountain Trail, 512 GB)","₹89,997",Apple iPhone 14 (256 GB) - Midnight,"₹61,900",https://www.amazon.in/Apple-iPhone-14-256GB-Midnight/dp/B0BDJ6N5D6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.uK6pTbd21S8D24rdzJK9u6aCD--RvXmzm6jcMLd6bplbk4qMk9P2j_znY7gsQKUsJWddCNonSrYkAGJfVfuYPiKlou07BbuHa-OrHCoeKwL0vHC8VobfVpSwYrg4wQK8ts0Fn2e4mtC8vYLqLgin4XOTai1z-uXP-q5mU9BvQE33v-UU-6uBUIgzukmYY9w-vf0rGO7d5RAVsHK1OSMNPA_TW__GOS1nx5Xa69HVeK4.tZi7MGEmGlP7HmqbC20xK9fszBapp1K02Lha9CXF0zI&dib_tag=se&keywords=Apple+iPhone+13+%28Midnight%2C+256+GB%29&nsdOptOutParam=true&qid=1760418424&sr=8-3,Amazon Cheaper by ₹28097.00
